http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011
http://statistics.data.gov.uk/id/local-authority-district/45UB,Adur,,,,,120,200,220,150,120,60,60
http://statistics.data.gov.uk/id/local-authority-district/16UB,Allerdale,,,,,70,320,110,200,150,240,110
http://statistics.data.gov.uk/id/local-authority-district/35UB,Alnwick,,,,,,,170,170,150,,
http://statistics.data.gov.uk/id/local-authority-district/17UB,Amber Valley,,,,,260,390,530,550,340,220,260
http://statistics.data.gov.uk/id/local-authority-district/45UC,Arun,,,,,350,240,320,590,550,420,520
http://statistics.data.gov.uk/id/local-authority-district/37UB,Ashfield,,,,,360,550,650,570,280,390,350
http://statistics.data.gov.uk/id/local-authority-district/29UB,Ashford,,,,,960,590,360,570,540,500,560
http://statistics.data.gov.uk/id/local-authority-district/11UB,Aylesbury Vale,,,,,670,640,620,820,740,800,790
http://statistics.data.gov.uk/id/local-authority-district/42UB,Babergh,,,,,190,190,280,300,290,190,
http://statistics.data.gov.uk/id/local-authority-district/00AB,Barking and Dagenham,,,,,460,370,410,820,390,210,230
http://statistics.data.gov.uk/id/local-authority-district/00AC,Barnet,,,,,970,970,410,1180,1020,770,660
http://statistics.data.gov.uk/id/local-authority-district/00CC,Barnsley,,,,,1310,940,940,1150,860,550,1000
http://statistics.data.gov.uk/id/local-authority-district/16UC,Barrow-in-Furness,,,,,90,40,100,70,80,50,80
http://statistics.data.gov.uk/id/local-authority-district/22UB,Basildon,,,,,140,470,180,320,480,470,170
http://statistics.data.gov.uk/id/local-authority-district/24UB,Basingstoke and Deane,,,,,890,920,730,1420,1300,1230,810
http://statistics.data.gov.uk/id/local-authority-district/37UC,Bassetlaw,,,,,360,,450,510,360,160,270
http://statistics.data.gov.uk/id/local-authority-district/00HA,Bath and North East Somerset,,,,,230,250,330,570,450,420,320
http://statistics.data.gov.uk/id/local-authority-district/09UD,Bedford,,,,,640,470,460,630,410,,
http://statistics.data.gov.uk/id/local-authority-district/00KB,Bedford,,,,,,,,,,470,630
http://statistics.data.gov.uk/id/local-authority-district/35UC,Berwick-upon-Tweed,,,,,,,50,120,,,
http://statistics.data.gov.uk/id/local-authority-district/00AD,Bexley,,,,,200,140,240,260,220,360,170
http://statistics.data.gov.uk/id/local-authority-district/00CN,Birmingham,,,,,2450,3140,1830,2990,2460,930,990
http://statistics.data.gov.uk/id/local-authority-district/31UB,Blaby,,,,,160,250,220,330,200,180,210
http://statistics.data.gov.uk/id/local-authority-district/00EX,Blackburn with Darwen,,,,,-290,400,40,430,-110,140,180
http://statistics.data.gov.uk/id/local-authority-district/00EY,Blackpool,,,,,350,350,290,470,420,110,290
http://statistics.data.gov.uk/id/local-authority-district/35UD,Blyth Valley,,,,,,90,,180,60,,
http://statistics.data.gov.uk/id/local-authority-district/17UC,Bolsover,,,,,200,270,210,220,240,200,200
http://statistics.data.gov.uk/id/local-authority-district/00BL,Bolton,,,,,430,760,930,1170,530,370,330
http://statistics.data.gov.uk/id/local-authority-district/32UB,Boston,,,,,290,270,270,500,280,90,100
http://statistics.data.gov.uk/id/local-authority-district/00HN,Bournemouth,,,,,1100,960,1090,1530,1230,620,490
http://statistics.data.gov.uk/id/local-authority-district/00MA,Bracknell Forest,,,,,240,270,130,500,470,330,410
http://statistics.data.gov.uk/id/local-authority-district/00CX,Bradford,,,,,430,290,1580,640,1440,1000,700
http://statistics.data.gov.uk/id/local-authority-district/22UC,Braintree,,,,,690,510,660,630,340,430,450
http://statistics.data.gov.uk/id/local-authority-district/33UB,Breckland,,,,,840,590,520,630,610,530,380
http://statistics.data.gov.uk/id/local-authority-district/00AE,Brent,,,,,360,1400,930,790,930,890,390
http://statistics.data.gov.uk/id/local-authority-district/22UD,Brentwood,,,,,150,120,220,240,260,170,390
http://statistics.data.gov.uk/id/local-authority-district/39UB,Bridgnorth,,,,,70,130,170,200,130,,
http://statistics.data.gov.uk/id/local-authority-district/00ML,Brighton and Hove,,,,,600,540,800,570,720,380,280
http://statistics.data.gov.uk/id/local-authority-district/00HB,Bristol,,,,,2040,1710,2050,2410,2570,2170,1500
http://statistics.data.gov.uk/id/local-authority-district/33UC,Broadland,,,,,280,140,310,260,310,210,150
http://statistics.data.gov.uk/id/local-authority-district/00AF,Bromley,,,,,760,680,880,700,490,550,670
http://statistics.data.gov.uk/id/local-authority-district/47UB,Bromsgrove,,,,,510,,280,140,160,70,120
http://statistics.data.gov.uk/id/local-authority-district/26UB,Broxbourne,,,,,910,490,260,280,180,320,270
http://statistics.data.gov.uk/id/local-authority-district/37UD,Broxtowe,,,,,320,380,370,380,240,100,220
http://statistics.data.gov.uk/id/local-authority-district/30UD,Burnley,,,,,30,90,110,180,150,-70,-60
http://statistics.data.gov.uk/id/local-authority-district/00BM,Bury,,,,,720,910,350,380,270,200,250
